id,time,x1,y1,z1,,,,,,,x2,y2,z2,,,,,,,x3,y3,z3,,,,,,,x4,y4,z4,,,,,,
44,0.366667,-0.812412,1.64936,-2.344939,-0.726662,1.592433,-2.382122,1.567883,1.794807,-1.924051,-1.219675,1.650033,-1.04374,-1.294945,1.587151,-1.04812,0.684502,0.828596,-0.399116,0.707322,0.906078,-0.382047,0.656545,0.791067,-0.301681,1.576845,1.715397,-1.936997,1.525007,1.792501,-1.789815,-0.883428,1.57448,-2.466498,-1.253583,1.521709,-0.943207
45,0.375,-0.807639,1.649441,-2.345308,-0.721729,1.592466,-2.382118,1.568429,1.795619,-1.926762,-1.218647,1.650471,-1.043528,-1.293865,1.587596,-1.048085,0.649242,0.8353,-0.396783,0.674991,0.911981,-0.380005,0.625352,0.797146,-0.298058,1.576962,1.716248,-1.940016,1.526246,1.793196,-1.792348,-0.877415,1.574458,-2.466733,-1.252917,1.522527,-0.942942
46,0.383333,-0.802519,1.649272,-2.345452,-0.716517,1.59229,-2.382074,1.568964,1.796436,-1.929485,-1.217554,1.650718,-1.043163,-1.292911,1.588055,-1.048097,0.614567,0.843771,-0.394049,0.643336,0.919632,-0.377721,0.594152,0.804778,-0.29499,1.576862,1.717116,-1.943076,1.527413,1.793741,-1.794816,-0.872835,1.57402,-2.467145,-1.252005,1.522398,-0.942737
47,0.391667,-0.797069,1.648749,-2.34521,-0.711009,1.591931,-2.382011,1.569426,1.79713,-1.932138,-1.216834,1.651255,-1.043027,-1.292038,1.588535,-1.048152,0.580433,0.853984,-0.390839,0.612104,0.92893,-0.375104,0.563609,0.814159,-0.291527,1.576762,1.717773,-1.946065,1.52848,1.794237,-1.797254,-0.86658,1.574756,-2.467567,-1.251425,1.522714,-0.942748
48,0.4,-0.791184,1.648136,-2.344784,-0.705181,1.591411,-2.381865,1.569773,1.797847,-1.934742,-1.216039,1.651718,-1.042881,-1.291286,1.589007,-1.048236,0.546892,0.865904,-0.38699,0.58239,0.938865,-0.372214,0.531699,0.826665,-0.287285,1.576573,1.718464,-1.948941,1.529474,1.794567,-1.799672,-0.861322,1.57471,-2.467399,-1.250695,1.522538,-0.943181
49,0.408333,-0.78497,1.64738,-2.344173,-0.69914,1.590834,-2.381732,1.570076,1.7985,-1.937243,-1.215356,1.652175,-1.042783,-1.290512,1.58954,-1.04846,0.513807,0.879179,-0.382297,0.55213,0.951093,-0.368957,0.500866,0.840558,-0.282232,1.576326,1.718977,-1.951878,1.530366,1.794894,-1.802065,-0.855295,1.574256,-2.466959,-1.250265,1.523307,-0.942956
50,0.416667,-0.778476,1.646589,-2.343557,-0.692806,1.59035,-2.381774,1.570289,1.798892,-1.939818,-1.214749,1.652676,-1.042743,-1.289928,1.589934,-1.048567,0.481099,0.894451,-0.377182,0.523723,0.964409,-0.365378,0.470399,0.856716,-0.276374,1.576043,1.719602,-1.954866,1.531268,1.795041,-1.804425,-0.848875,1.574301,-2.46669,-1.249634,1.523038,-0.943523
51,0.425,-0.771616,1.646192,-2.342819,-0.686088,1.590125,-2.381709,1.570416,1.799258,-1.942313,-1.214204,1.653147,-1.042799,-1.28937,1.590308,-1.048743,0.448739,0.912363,-0.371278,0.496132,0.979353,-0.361647,0.440614,0.874937,-0.270223,1.575726,1.719995,-1.957638,1.532044,1.795054,-1.806772,-0.842868,1.574722,-2.46658,-1.249104,1.523317,-0.943759
52,0.433333,-0.764587,1.645887,-2.342206,-0.679313,1.589996,-2.381876,1.570388,1.799656,-1.944793,-1.213758,1.653582,-1.042926,-1.288859,1.590622,-1.049,0.417799,0.932251,-0.364901,0.469366,0.996438,-0.357699,0.411938,0.894735,-0.263878,1.575291,1.720373,-1.96053,1.532778,1.795009,-1.809111,-0.83707,1.574465,-2.465442,-1.248595,1.523677,-0.944012
53,0.441667,-0.757459,1.645787,-2.34169,-0.672383,1.590165,-2.382182,1.570262,1.799858,-1.947304,-1.213339,1.653958,-1.043128,-1.288399,1.590897,-1.049283,0.388431,0.954255,-0.358989,0.443951,1.015424,-0.353604,0.384977,0.916225,-0.257877,1.574744,1.720628,-1.963334,1.533369,1.794916,-1.811367,-0.830375,1.574932,-2.464842,-1.248136,1.524005,-0.944331
54,0.45,-0.749915,1.646186,-2.341238,-0.665149,1.590581,-2.38239,1.570125,1.80002,-1.949811,-1.212956,1.654261,-1.043447,-1.28797,1.591085,-1.04961,0.361245,0.977874,-0.353344,0.420411,1.035619,-0.349671,0.359661,0.939105,-0.252393,1.573892,1.72084,-1.966146,1.533892,1.794649,-1.81365,-0.824592,1.574948,-2.463632,-1.247757,1.524872,-0.94498
55,0.458333,-0.742434,1.646551,-2.340807,-0.658026,1.591062,-2.382842,1.569717,1.800156,-1.95225,-1.212463,1.654379,-1.043789,-1.287581,1.591309,-1.049964,0.336123,1.003466,-0.348484,0.398951,1.057036,-0.345989,0.335907,0.963399,-0.247851,1.573153,1.720924,-1.968909,1.534377,1.794262,-1.815902,-0.81741,1.574875,-2.462176,-1.247399,1.525219,-0.945186
56,0.466667,-0.73468,1.647213,-2.3404,-0.650723,1.591694,-2.383147,1.569211,1.800078,-1.954662,-1.212111,1.654572,-1.044189,-1.287202,1.591546,-1.050367,0.314044,1.029388,-0.344412,0.379783,1.079441,-0.342973,0.314273,0.987656,-0.244143,1.57236,1.721083,-1.971767,1.534836,1.79382,-1.818108,-0.811256,1.57546,-2.46131,-1.247085,1.525782,-0.945236
